time,.destination_id,.distance,.stamp
1970/01/01/02:02:35.703000,"(26955, 26952, 26959, 26954)","(1935.0531777563294, 857.6552248244006, 4430.145450476668, 4108.695745531029)","[genpy.Time[155702000000], genpy.Time[155702000000], genpy.Time[155702000000]]"
1970/01/01/02:02:35.906000,"(26955, 26952, 26959, 26954)","(1924.320780443027, 861.1793036282694, 4436.368746475955, 4102.608582286451)","[genpy.Time[155906000000], genpy.Time[155906000000], genpy.Time[155906000000]]"
1970/01/01/02:02:36.107000,"(26955, 26952, 26959, 26954)","(1940.70559609109, 878.2371101154358, 4468.196243844452, 4088.2039330514403)","[genpy.Time[156106000000], genpy.Time[156106000000], genpy.Time[156106000000]]"
1970/01/01/02:02:36.309000,"(26955, 26952, 26959, 26954)","(1932.3029171831936, 858.7051073931425, 4446.156549405775, 4054.611211208232)","[genpy.Time[156308000000], genpy.Time[156308000000], genpy.Time[156308000000]]"
1970/01/01/02:02:36.508000,"(26955, 26952, 26959, 26954)","(1897.5244692209208, 876.9988638606584, 4409.906637600094, 4111.528230342383)","[genpy.Time[156508000000], genpy.Time[156508000000], genpy.Time[156508000000]]"
1970/01/01/02:02:36.708000,"(26955, 26952, 26959, 26954)","(1925.4463052054698, 879.5854982348342, 4392.862788742535, 4061.1130500727604)","[genpy.Time[156708000000], genpy.Time[156708000000], genpy.Time[156708000000]]"
1970/01/01/02:02:36.910000,"(26955, 26952, 26959, 26954)","(1915.5605237238165, 884.9338336269443, 4331.56022283306, 3953.8166419058334)","[genpy.Time[156909000000], genpy.Time[156909000000], genpy.Time[156909000000]]"
1970/01/01/02:02:37.112000,"(26955, 26952, 26959, 26954)","(1913.9707369718058, 908.0590390252189, 4265.4016271586415, 3886.685225631469)","[genpy.Time[157112000000], genpy.Time[157112000000], genpy.Time[157112000000]]"
1970/01/01/02:02:37.313000,"(26955, 26952, 26959, 26954)","(1936.1979395898484, 925.1394023605391, 4225.000429200088, 3875.3982832503475)","[genpy.Time[157312000000], genpy.Time[157312000000], genpy.Time[157312000000]]"
1970/01/01/02:02:37.516000,"(26955, 26952, 26959, 26954)","(1965.5683962157725, 920.8328555751046, 4184.510448926838, 3735.4258125961533)","[genpy.Time[157515000000], genpy.Time[157515000000], genpy.Time[157515000000]]"
