time,destination_id,distance,stamp,secs,nsecs,secs,nsecs
128712000000,"(26955, 26952, 26959, 26954)","(2803.7808372415793, 3076.6123370462237, 1838.0873773182104, 2213.2631805964265)",128,711000000,128,711000000,128,711000000
128912000000,"(26955, 26952, 26959, 26954)","(2746.019017860934, 3059.4128492409754, 1841.350149509496, 2247.5517850856745)",128,912000000,128,912000000,128,912000000
129113000000,"(26955, 26952, 26959, 26954)","(2760.8453423740757, 3066.1106088829692, 1804.4054683260565, 2295.8046300923393)",129,112000000,129,112000000,129,112000000
129315000000,"(26955, 26952, 26959, 26954)","(2745.2081870433753, 3088.544976475264, 1794.743469519296, 2289.2881034579145)",129,313000000,129,313000000,129,313000000
129519000000,"(26955, 26952, 26959, 26954)","(2704.545149444563, 3157.1109065543296, 1787.1211356348397, 2341.7296109903027)",129,516000000,129,516000000,129,516000000
129723000000,"(26955, 26952, 26959, 26954)","(2667.07485357704, 3132.0633518318277, 1762.0228381133686, 2340.875365348046)",129,723000000,129,723000000,129,723000000
129925000000,"(26955, 26952, 26959, 26954)","(2695.071299536996, 3172.9840963025213, 1743.2399287677333, 2396.0405992515625)",129,924000000,129,924000000,129,924000000
130124000000,"(26955, 26952, 26959, 26954)","(2648.467252491642, 3170.028822633424, 1731.4821705104841, 2410.7403725364015)",130,124000000,130,124000000,130,124000000
130325000000,"(26955, 26952, 26959, 26954)","(2656.6207650408305, 3166.5780160297127, 1725.9962966956584, 2451.515399582307)",130,324000000,130,324000000,130,324000000
130525000000,"(26955, 26952, 26959, 26954)","(2622.2104464333183, 3215.5214977125597, 1714.8892704032778, 2482.5106386880707)",130,524000000,130,524000000,130,524000000
130727000000,"(26955, 26952, 26959, 26954)","(2690.884009617663, 3175.5576819236962, 1720.937328361213, 2469.3264861888565)",130,726000000,130,726000000,130,726000000
130928000000,"(26955, 26952, 26959, 26954)","(2619.9405396246525, 3187.958660273568, 1703.4071289437813, 2467.3908487396798)",130,928000000,130,928000000,130,928000000
131132000000,"(26955, 26952, 26959, 26954)","(2629.579467612619, 3182.277421789239, 1734.2149505849961, 2484.574865564497)",131,131000000,131,131000000,131,131000000
131335000000,"(26955, 26952, 26959, 26954)","(2637.0294070592086, 3217.345906200628, 1726.014234954032, 2432.9811350998216)",131,334000000,131,334000000,131,334000000
131537000000,"(26955, 26952, 26959, 26954)","(2636.556180647986, 3159.616200752011, 1724.309291226925, 2463.895744515487)",131,535000000,131,535000000,131,535000000
131738000000,"(26955, 26952, 26959, 26954)","(2635.5279229506364, 3157.6779966664103, 1710.0294845101087, 2442.5646400657592)",131,736000000,131,736000000,131,736000000
131940000000,"(26955, 26952, 26959, 26954)","(2666.8646963312685, 3223.519428419588, 1716.6163454337882, 2438.8376160805788)",131,939000000,131,939000000,131,939000000
132145000000,"(26955, 26952, 26959, 26954)","(2638.335491318523, 3118.8045994583167, 1705.7506738113639, 2459.5030771124675)",132,144000000,132,144000000,132,144000000
132348000000,"(26955, 26952, 26959, 26954)","(2648.4596470671995, 3195.065768095118, 1735.664409637609, 2438.666549783307)",132,346000000,132,346000000,132,346000000
132548000000,"(26955, 26952, 26959, 26954)","(2681.0390515330237, 3209.8703434910076, 1733.1658293399257, 2484.676232422955)",132,547000000,132,547000000,132,547000000
