time,destination_id,distance,stamp
1970/01/01/02:01:58.045000,"(26955, 26952, 26959, 26954)","(4228.654513895283, 2541.631238526238, 3729.678412855219, 1616.5224442262045)","[genpy.Time[118045000000], genpy.Time[118045000000], genpy.Time[118045000000]]"
1970/01/01/02:01:58.245000,"(26955, 26952, 26959, 26954)","(4187.652136040444, 2567.499026830476, 3760.6029409661446, 1623.389918609885)","[genpy.Time[118245000000], genpy.Time[118245000000], genpy.Time[118245000000]]"
1970/01/01/02:01:58.445000,"(26955, 26952, 26959, 26954)","(4260.491511403932, 2581.1999245228258, 3688.5796242950337, 1627.9378856511403)","[genpy.Time[118445000000], genpy.Time[118445000000], genpy.Time[118445000000]]"
1970/01/01/02:01:58.645000,"(26955, 26952, 26959, 26954)","(4217.392725886467, 2583.4312830272365, 3696.337810749879, 1604.2253775902159)","[genpy.Time[118645000000], genpy.Time[118645000000], genpy.Time[118645000000]]"
1970/01/01/02:01:58.845000,"(26955, 26952, 26959, 26954)","(4172.674574586006, 2562.567254487028, 3725.2010638332686, 1599.2686624032422)","[genpy.Time[118845000000], genpy.Time[118845000000], genpy.Time[118845000000]]"
1970/01/01/02:01:59.047000,"(26955, 26952, 26959, 26954)","(4222.797282795071, 2612.5691255749866, 3740.560577038635, 1628.8817413507572)","[genpy.Time[119045000000], genpy.Time[119045000000], genpy.Time[119045000000]]"
1970/01/01/02:01:59.246000,"(26955, 26952, 26959, 26954)","(4269.933337979655, 2569.149439497807, 3751.049259150086, 1617.5353675732133)","[genpy.Time[119246000000], genpy.Time[119246000000], genpy.Time[119246000000]]"
1970/01/01/02:01:59.448000,"(26955, 26952, 26959, 26954)","(4223.509293065372, 2593.5184785009355, 3748.855358455052, 1639.046916596002)","[genpy.Time[119447000000], genpy.Time[119447000000], genpy.Time[119447000000]]"
1970/01/01/02:01:59.646000,"(26955, 26952, 26959, 26954)","(4241.128811094089, 2617.3976799786205, 3732.6097265172743, 1600.0617948062181)","[genpy.Time[119648000000], genpy.Time[119648000000], genpy.Time[119648000000]]"
1970/01/01/02:01:59.857000,"(26955, 26952, 26959, 26954)","(4158.208956255985, 2542.219113325418, 3652.4760101965335, 1590.0997296510895)","[genpy.Time[119855000000], genpy.Time[119855000000], genpy.Time[119855000000]]"
1970/01/01/02:02:00.059000,"(26955, 26952, 26959, 26954)","(4171.17711857026, 2553.1915642906756, 3649.19642997056, 1577.6255235796484)","[genpy.Time[120058000000], genpy.Time[120058000000], genpy.Time[120058000000]]"
1970/01/01/02:02:00.260000,"(26955, 26952, 26959, 26954)","(4063.2146867826036, 2547.8074021454568, 3547.3771997589542, 1586.7876454290204)","[genpy.Time[120259000000], genpy.Time[120259000000], genpy.Time[120259000000]]"
1970/01/01/02:02:00.460000,"(26955, 26952, 26959, 26954)","(4044.6264759148644, 2557.843723727419, 3520.3678409010276, 1553.3483658933828)","[genpy.Time[120460000000], genpy.Time[120460000000], genpy.Time[120460000000]]"
1970/01/01/02:02:00.662000,"(26955, 26952, 26959, 26954)","(4055.902632592687, 2516.4312118426324, 3516.0901915710474, 1535.1227895329657)","[genpy.Time[120660000000], genpy.Time[120660000000], genpy.Time[120660000000]]"
1970/01/01/02:02:00.861000,"(26955, 26952, 26959, 26954)","(4002.5840648215576, 2554.130968779399, 3459.905691061, 1504.9051692210055)","[genpy.Time[120861000000], genpy.Time[120861000000], genpy.Time[120861000000]]"
1970/01/01/02:02:01.061000,"(26955, 26952, 26959, 26954)","(3918.30560243257, 2537.7638457191706, 3410.1532485042994, 1513.062709213741)","[genpy.Time[121061000000], genpy.Time[121061000000], genpy.Time[121061000000]]"
1970/01/01/02:02:01.264000,"(26955, 26952, 26959, 26954)","(3913.2129208749684, 2533.5936315329736, 3340.747374635205, 1508.0471940723094)","[genpy.Time[121263000000], genpy.Time[121263000000], genpy.Time[121263000000]]"
1970/01/01/02:02:01.465000,"(26955, 26952, 26959, 26954)","(3864.5062283264133, 2536.1683999979773, 3279.6673372638948, 1478.854673167648)","[genpy.Time[121464000000], genpy.Time[121464000000], genpy.Time[121464000000]]"
1970/01/01/02:02:01.666000,"(26955, 26952, 26959, 26954)","(3872.649800638501, 2513.7891559651353, 3262.1034138057257, 1442.0879076799079)","[genpy.Time[121665000000], genpy.Time[121665000000], genpy.Time[121665000000]]"
1970/01/01/02:02:01.865000,"(26955, 26952, 26959, 26954)","(3789.527058496415, 2511.458729076646, 3166.3975763358226, 1463.8676626204892)","[genpy.Time[121866000000], genpy.Time[121866000000], genpy.Time[121866000000]]"
1970/01/01/02:02:02.071000,"(26955, 26952, 26959, 26954)","(3769.242485097622, 2531.661532240275, 3151.0114616823817, 1450.61579867745)","[genpy.Time[122068000000], genpy.Time[122068000000], genpy.Time[122068000000]]"
1970/01/01/02:02:02.272000,"(26955, 26952, 26959, 26954)","(3764.1403379334706, 2536.7559558334237, 3097.0235236453136, 1462.3538158653332)","[genpy.Time[122274000000], genpy.Time[122274000000], genpy.Time[122274000000]]"
1970/01/01/02:02:02.474000,"(26955, 26952, 26959, 26954)","(3681.099187276247, 2537.456837566469, 3077.937686917349, 1453.946393806824)","[genpy.Time[122474000000], genpy.Time[122474000000], genpy.Time[122474000000]]"
1970/01/01/02:02:02.676000,"(26955, 26952, 26959, 26954)","(3718.228953254569, 2585.340665111443, 3001.2753427251364, 1464.3731006022463)","[genpy.Time[122675000000], genpy.Time[122675000000], genpy.Time[122675000000]]"
1970/01/01/02:02:02.876000,"(26955, 26952, 26959, 26954)","(3633.225427975252, 2574.745112396559, 2928.6412160042432, 1453.5078646857314)","[genpy.Time[122875000000], genpy.Time[122875000000], genpy.Time[122875000000]]"
1970/01/01/02:02:03.077000,"(26955, 26952, 26959, 26954)","(3626.845684558758, 2608.879587335806, 2920.9692765300606, 1461.5181750532786)","[genpy.Time[123077000000], genpy.Time[123077000000], genpy.Time[123077000000]]"
1970/01/01/02:02:03.276000,"(26955, 26952, 26959, 26954)","(3570.5501037714052, 2561.0450249978717, 2892.4338450782016, 1491.1884555081133)","[genpy.Time[123277000000], genpy.Time[123277000000], genpy.Time[123277000000]]"
1970/01/01/02:02:03.479000,"(26955, 26952, 26959, 26954)","(3587.611419478132, 2547.491681346139, 2792.950214060032, 1475.3552507675363)","[genpy.Time[123478000000], genpy.Time[123478000000], genpy.Time[123478000000]]"
1970/01/01/02:02:03.681000,"(26955, 26952, 26959, 26954)","(3458.0733933152746, 2585.3231483550335, 2759.4342252643264, 1497.3267730329403)","[genpy.Time[123679000000], genpy.Time[123679000000], genpy.Time[123679000000]]"
1970/01/01/02:02:03.882000,"(26955, 26952, 26959, 26954)","(3488.000084514663, 2649.8125900746686, 2700.8215758473643, 1499.5630026170675)","[genpy.Time[123881000000], genpy.Time[123881000000], genpy.Time[123881000000]]"
1970/01/01/02:02:04.082000,"(26955, 26952, 26959, 26954)","(3435.197108633202, 2630.0739754397027, 2679.844895056859, 1526.801314736815)","[genpy.Time[124081000000], genpy.Time[124081000000], genpy.Time[124081000000]]"
1970/01/01/02:02:04.286000,"(26955, 26952, 26959, 26954)","(3379.225767417297, 2670.924976585242, 2613.158808955728, 1542.5113896299974)","[genpy.Time[124283000000], genpy.Time[124283000000], genpy.Time[124283000000]]"
1970/01/01/02:02:04.485000,"(26955, 26952, 26959, 26954)","(3344.6446365016013, 2683.8015483150534, 2611.7644005504976, 1576.8164017448162)","[genpy.Time[124484000000], genpy.Time[124484000000], genpy.Time[124484000000]]"
1970/01/01/02:02:04.685000,"(26955, 26952, 26959, 26954)","(3315.0357131426604, 2654.1739035009614, 2572.5376491264883, 1564.686288532379)","[genpy.Time[124684000000], genpy.Time[124684000000], genpy.Time[124684000000]]"
1970/01/01/02:02:04.887000,"(26955, 26952, 26959, 26954)","(3251.9572786696367, 2669.4846675666363, 2484.4417906008325, 1628.2050922762965)","[genpy.Time[124885000000], genpy.Time[124885000000], genpy.Time[124885000000]]"
1970/01/01/02:02:05.087000,"(26955, 26952, 26959, 26954)","(3247.450079739556, 2715.7683080564925, 2425.5874789820687, 1621.8670043475765)","[genpy.Time[125086000000], genpy.Time[125086000000], genpy.Time[125086000000]]"
1970/01/01/02:02:05.287000,"(26955, 26952, 26959, 26954)","(3218.892746036435, 2700.564250033529, 2400.3119423447, 1658.5712025877758)","[genpy.Time[125287000000], genpy.Time[125287000000], genpy.Time[125287000000]]"
1970/01/01/02:02:05.487000,"(26955, 26952, 26959, 26954)","(3188.4683904339404, 2769.91093496604, 2376.324438714215, 1668.1929748444963)","[genpy.Time[125487000000], genpy.Time[125487000000], genpy.Time[125487000000]]"
1970/01/01/02:02:05.687000,"(26955, 26952, 26959, 26954)","(3187.8331420864006, 2754.129402784386, 2298.210516474243, 1730.2727631652124)","[genpy.Time[125687000000], genpy.Time[125687000000], genpy.Time[125687000000]]"
1970/01/01/02:02:05.889000,"(26955, 26952, 26959, 26954)","(3134.893391716112, 2774.031555873234, 2298.958529241802, 1738.5965654524803)","[genpy.Time[125889000000], genpy.Time[125889000000], genpy.Time[125889000000]]"
