time,.destination_id,.distance,.stamp
1970/01/01/02:31:34.512000,"(26956, 26957, 26955, 26952, 26959, 26954)","(347.2990612798233, 1123.8817051356402, 1839.0006744484078, 2324.7913693002497, 2674.801954000705, 3038.7653143502043)","[genpy.Time[1894511000000], genpy.Time[1894511000000], genpy.Time[1894511000000]]"
1970/01/01/02:31:34.714000,"(26956, 26957, 26955, 26952, 26959, 26954)","(390.66601719710184, 1153.3303168352227, 1885.5180778588335, 2375.3367219702623, 2598.4535560701356, 3006.3036321831664)","[genpy.Time[1894715000000], genpy.Time[1894715000000], genpy.Time[1894715000000]]"
1970/01/01/02:31:34.917000,"(26956, 26957, 26955, 26952, 26959, 26954)","(428.0650312972736, 1202.1021970421637, 1912.174225687561, 2426.227927781828, 2610.5489521487575, 2959.054583666581)","[genpy.Time[1894916000000], genpy.Time[1894916000000], genpy.Time[1894916000000]]"
1970/01/01/02:31:35.117000,"(26956, 26957, 26955, 26952, 26959, 26954)","(470.78681336790015, 1225.7325663212998, 1938.5618110107648, 2439.9039691569146, 2505.7597842224723, 2938.420692719723)","[genpy.Time[1895116000000], genpy.Time[1895116000000], genpy.Time[1895116000000]]"
1970/01/01/02:31:35.321000,"(26956, 26957, 26955, 26952, 26959, 26954)","(513.1143173427163, 1256.1211436271512, 2008.7317916335685, 2477.028125282239, 2464.319904940788, 2880.520049292656)","[genpy.Time[1895319000000], genpy.Time[1895319000000], genpy.Time[1895319000000]]"
1970/01/01/02:31:35.521000,"(26956, 26957, 26955, 26952, 26959, 26954)","(562.750546524945, 1299.415623834627, 2045.3684483753827, 2501.9318132424128, 2457.7067510716042, 2850.9760525920174)","[genpy.Time[1895521000000], genpy.Time[1895521000000], genpy.Time[1895521000000]]"
1970/01/01/02:31:35.721000,"(26956, 26957, 26955, 26952, 26959, 26954)","(611.5531842288585, 1321.9435329086994, 2080.338619308999, 2539.4230945491418, 2403.9848356402294, 2832.2318465529374)","[genpy.Time[1895721000000], genpy.Time[1895721000000], genpy.Time[1895721000000]]"
1970/01/01/02:31:35.928000,"(26956, 26957, 26955, 26952, 26959, 26954)","(640.343484209098, 1385.7169338511403, 2118.6756293251783, 2618.305730772467, 2324.8355232089625, 2793.5571245979845)","[genpy.Time[1895926000000], genpy.Time[1895926000000], genpy.Time[1895926000000]]"
1970/01/01/02:31:36.133000,"(26956, 26957, 26955, 26952, 26959, 26954)","(694.8025359050012, 1409.836352065143, 2160.6078605752264, 2603.4700058879603, 2299.144690816382, 2738.671280557051)","[genpy.Time[1896128000000], genpy.Time[1896128000000], genpy.Time[1896128000000]]"
1970/01/01/02:31:36.337000,"(26956, 26957, 26955, 26952, 26959, 26954)","(748.6974488673261, 1463.4038758309262, 2235.9475888616485, 2725.213318823355, 2253.390405706127, 2769.0353578356603)","[genpy.Time[1896335000000], genpy.Time[1896335000000], genpy.Time[1896335000000]]"
1970/01/01/02:31:36.536000,"(26956, 26957, 26955, 26952, 26959, 26954)","(799.1878163425599, 1499.4263191165574, 2254.6507444389044, 2726.228000326487, 2189.8235845639183, 2687.33793572059)","[genpy.Time[1896535000000], genpy.Time[1896535000000], genpy.Time[1896535000000]]"
1970/01/01/02:31:36.738000,"(26956, 26957, 26955, 26952, 26959, 26954)","(842.7466821035574, 1553.0578231143177, 2310.2811265087025, 2784.7971009540124, 2162.7899140256754, 2701.3885923300427)","[genpy.Time[1896737000000], genpy.Time[1896737000000], genpy.Time[1896737000000]]"
1970/01/01/02:31:36.942000,"(26956, 26957, 26955, 26952, 26959, 26954)","(905.5358813165584, 1572.183164100924, 2325.1740952074592, 2843.318707104311, 2100.490475998493, 2595.2602511979826)","[genpy.Time[1896941000000], genpy.Time[1896941000000], genpy.Time[1896941000000]]"
1970/01/01/02:31:37.151000,"(26956, 26957, 26955, 26952, 26959, 26954)","(940.5390643617422, 1629.3012457913435, 2392.3890591722234, 2870.579624095747, 2050.303665471845, 2576.249179280129)","[genpy.Time[1897144000000], genpy.Time[1897144000000], genpy.Time[1897144000000]]"
1970/01/01/02:31:37.346000,"(26956, 26957, 26955, 26952, 26959, 26954)","(989.735997391139, 1670.8636223112337, 2463.586613506996, 2872.3609714563, 2014.6323372169952, 2588.5536245820185)","[genpy.Time[1897345000000], genpy.Time[1897345000000], genpy.Time[1897345000000]]"
1970/01/01/02:31:37.547000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1052.5558009230044, 1720.3794127163073, 2477.349901226706, 2967.1407439467985, 1956.686598080901, 2541.5459268983177)","[genpy.Time[1897547000000], genpy.Time[1897547000000], genpy.Time[1897547000000]]"
1970/01/01/02:31:37.747000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1088.7435421387627, 1745.340956530453, 2482.9436863512456, 3015.333419436204, 1909.236487633804, 2508.167103339484)","[genpy.Time[1897747000000], genpy.Time[1897747000000], genpy.Time[1897747000000]]"
1970/01/01/02:31:37.949000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1143.9742024881605, 1787.9015655310416, 2551.4168860478926, 3058.137312079157, 1834.2232590333192, 2474.3729622986934)","[genpy.Time[1897947000000], genpy.Time[1897947000000], genpy.Time[1897947000000]]"
1970/01/01/02:31:38.149000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1200.0698435052113, 1840.5866361910148, 2616.16154237649, 3078.545958325578, 1797.6947629945182, 2460.3805306163913)","[genpy.Time[1898149000000], genpy.Time[1898149000000], genpy.Time[1898149000000]]"
1970/01/01/02:31:38.352000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1229.4041314535511, 1888.7978883883768, 2629.516929774341, 3130.716690390153, 1770.1710973975412, 2419.142918961414)","[genpy.Time[1898352000000], genpy.Time[1898352000000], genpy.Time[1898352000000]]"
1970/01/01/02:31:38.556000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1295.4144166442925, 1934.9362073318762, 2636.0310486600156, 3203.5019035756195, 1708.257368659482, 2420.303061983379)","[genpy.Time[1898554000000], genpy.Time[1898554000000], genpy.Time[1898554000000]]"
1970/01/01/02:31:38.759000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1338.7151950900354, 1977.7043881225597, 2736.097260889033, 3166.6284244694007, 1641.3249081961826, 2388.8220555969556)","[genpy.Time[1898757000000], genpy.Time[1898757000000], genpy.Time[1898757000000]]"
1970/01/01/02:31:38.963000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1414.3352506151502, 2030.7189706394458, 2789.5738127755208, 3263.5614985224, 1625.7040869720627, 2375.6274149429746)","[genpy.Time[1898962000000], genpy.Time[1898962000000], genpy.Time[1898962000000]]"
