time,destination_id,distance,stamp
1970/01/01/02:03:32.648000,"(26955, 26952, 26959, 26954)","(3895.002778734627, 2176.6569152239317, 6942.998627085953, 6170.78622350965)","[genpy.Time[212647000000], genpy.Time[212647000000], genpy.Time[212647000000]]"
1970/01/01/02:03:32.848000,"(26955, 26952, 26959, 26954)","(3800.7132656970175, 2144.4198309637673, 6875.0965707025025, 6116.574615859182)","[genpy.Time[212847000000], genpy.Time[212847000000], genpy.Time[212847000000]]"
1970/01/01/02:03:33.048000,"(26955, 26952, 26959, 26954)","(3787.1916502820186, 2189.7757390745887, 6968.0015860368485, 6099.902223560286)","[genpy.Time[213048000000], genpy.Time[213048000000], genpy.Time[213048000000]]"
1970/01/01/02:03:33.249000,"(26955, 26952, 26959, 26954)","(3854.5983326887135, 2128.079329761567, 6886.396748689549, 6059.239242431994)","[genpy.Time[213248000000], genpy.Time[213248000000], genpy.Time[213248000000]]"
1970/01/01/02:03:33.450000,"(26955, 26952, 26959, 26954)","(3778.6578621361014, 2105.3229859375724, 6858.03392930062, 6049.303773087131)","[genpy.Time[213449000000], genpy.Time[213449000000], genpy.Time[213449000000]]"
1970/01/01/02:03:33.649000,"(26955, 26952, 26959, 26954)","(3781.9479199334955, 2082.6850191040353, 6896.045807653749, 6016.124782608052)","[genpy.Time[213649000000], genpy.Time[213649000000], genpy.Time[213649000000]]"
1970/01/01/02:03:33.849000,"(26955, 26952, 26959, 26954)","(3781.846937631217, 2048.0083849335247, 6818.855317164507, 6044.8796595686945)","[genpy.Time[213849000000], genpy.Time[213849000000], genpy.Time[213849000000]]"
1970/01/01/02:03:34.051000,"(26955, 26952, 26959, 26954)","(3741.751742242959, 2007.2910299526602, 6770.304875041706, 5966.506466753156)","[genpy.Time[214049000000], genpy.Time[214049000000], genpy.Time[214049000000]]"
1970/01/01/02:03:34.252000,"(26955, 26952, 26959, 26954)","(3703.336249881545, 1984.3146634071159, 6710.635075564109, 5953.954971186886)","[genpy.Time[214251000000], genpy.Time[214251000000], genpy.Time[214251000000]]"
1970/01/01/02:03:34.451000,"(26955, 26952, 26959, 26954)","(3730.5907520964256, 1937.4762731359556, 6767.090575228631, 5879.787645826031)","[genpy.Time[214451000000], genpy.Time[214451000000], genpy.Time[214451000000]]"
1970/01/01/02:03:34.652000,"(26955, 26952, 26959, 26954)","(3652.858823946799, 1877.8166005279952, 6646.870249155622, 5831.896787934044)","[genpy.Time[214652000000], genpy.Time[214652000000], genpy.Time[214652000000]]"
1970/01/01/02:03:34.852000,"(26955, 26952, 26959, 26954)","(3643.9775002397296, 1857.444796902139, 6532.333139783907, 5796.353283343507)","[genpy.Time[214852000000], genpy.Time[214852000000], genpy.Time[214852000000]]"
1970/01/01/02:03:35.053000,"(26955, 26952, 26959, 26954)","(3675.569360823297, 1793.7954643128962, 6600.294727305381, 5709.144059188308)","[genpy.Time[215053000000], genpy.Time[215053000000], genpy.Time[215053000000]]"
1970/01/01/02:03:35.254000,"(26955, 26952, 26959, 26954)","(3561.4067392054703, 1794.2727579075065, 6514.970784730586, 5796.695204801471)","[genpy.Time[215254000000], genpy.Time[215254000000], genpy.Time[215254000000]]"
1970/01/01/02:03:35.456000,"(26955, 26952, 26959, 26954)","(3624.6491103122403, 1727.816328131414, 6440.451710088143, 5679.382530655063)","[genpy.Time[215454000000], genpy.Time[215454000000], genpy.Time[215454000000]]"
1970/01/01/02:03:35.656000,"(26955, 26952, 26959, 26954)","(3598.130962677378, 1713.3002579638885, 6520.684098485298, 5656.832101425165)","[genpy.Time[215656000000], genpy.Time[215656000000], genpy.Time[215656000000]]"
1970/01/01/02:03:35.857000,"(26955, 26952, 26959, 26954)","(3608.475192269481, 1665.2139575776087, 6426.610621938942, 5636.065054459237)","[genpy.Time[215856000000], genpy.Time[215856000000], genpy.Time[215856000000]]"
1970/01/01/02:03:36.058000,"(26955, 26952, 26959, 26954)","(3546.940002389361, 1627.4749806590178, 6440.765940053429, 5614.323980616699)","[genpy.Time[216057000000], genpy.Time[216057000000], genpy.Time[216057000000]]"
1970/01/01/02:03:36.258000,"(26955, 26952, 26959, 26954)","(3540.7428984029802, 1590.7067785651536, 6375.88571495359, 5598.668406550336)","[genpy.Time[216258000000], genpy.Time[216258000000], genpy.Time[216258000000]]"
1970/01/01/02:03:36.459000,"(26955, 26952, 26959, 26954)","(3581.8841945635218, 1553.5907399425084, 6280.803427170819, 5460.552974407782)","[genpy.Time[216459000000], genpy.Time[216459000000], genpy.Time[216459000000]]"
1970/01/01/02:03:36.662000,"(26955, 26952, 26959, 26954)","(3496.4096589217997, 1507.4253957563694, 6229.143917520038, 5472.346444374671)","[genpy.Time[216661000000], genpy.Time[216661000000], genpy.Time[216661000000]]"
1970/01/01/02:03:36.863000,"(26955, 26952, 26959, 26954)","(3512.3252603510905, 1496.6731070508224, 6275.230555105613, 5439.651381787375)","[genpy.Time[216862000000], genpy.Time[216862000000], genpy.Time[216862000000]]"
1970/01/01/02:03:37.062000,"(26955, 26952, 26959, 26954)","(3468.353807284888, 1456.808835707157, 6322.769691549166, 5406.83169909)","[genpy.Time[217062000000], genpy.Time[217062000000], genpy.Time[217062000000]]"
1970/01/01/02:03:37.263000,"(26955, 26952, 26959, 26954)","(3479.354297922689, 1423.0529983961433, 6140.8017879794115, 5394.773315906266)","[genpy.Time[217262000000], genpy.Time[217262000000], genpy.Time[217262000000]]"
1970/01/01/02:03:37.464000,"(26955, 26952, 26959, 26954)","(3460.1696241414875, 1356.8786242350238, 6146.759522174791, 5373.607997493743)","[genpy.Time[217464000000], genpy.Time[217464000000], genpy.Time[217464000000]]"
1970/01/01/02:03:37.665000,"(26955, 26952, 26959, 26954)","(3479.0576750590385, 1329.921314344771, 6186.599131312093, 5380.700235379652)","[genpy.Time[217664000000], genpy.Time[217664000000], genpy.Time[217664000000]]"
1970/01/01/02:03:37.867000,"(26955, 26952, 26959, 26954)","(3438.7491485016735, 1287.746550917667, 6165.658502773894, 5203.600267284867)","[genpy.Time[217866000000], genpy.Time[217866000000], genpy.Time[217866000000]]"
1970/01/01/02:03:38.068000,"(26955, 26952, 26959, 26954)","(3429.8709940162485, 1258.2820357326473, 6133.240441043339, 5217.298145990737)","[genpy.Time[218067000000], genpy.Time[218067000000], genpy.Time[218067000000]]"
1970/01/01/02:03:38.268000,"(26955, 26952, 26959, 26954)","(3396.481904904445, 1219.7197662538017, 6073.615608127986, 5182.499258182669)","[genpy.Time[218268000000], genpy.Time[218268000000], genpy.Time[218268000000]]"
1970/01/01/02:03:38.468000,"(26955, 26952, 26959, 26954)","(3355.657533374726, 1184.3697393056068, 6038.96922636512, 5184.385738917232)","[genpy.Time[218468000000], genpy.Time[218468000000], genpy.Time[218468000000]]"
1970/01/01/02:03:38.664000,"(26955, 26952, 26959, 26954)","(3388.3818833665387, 1152.3255339186815, 6047.661345661202, 5068.057845654187)","[genpy.Time[218668000000], genpy.Time[218668000000], genpy.Time[218668000000]]"
1970/01/01/02:03:38.872000,"(26955, 26952, 26959, 26954)","(3333.8041323792695, 1120.3598113364571, 6023.922943436484, 5050.8832758879435)","[genpy.Time[218870000000], genpy.Time[218870000000], genpy.Time[218870000000]]"
1970/01/01/02:03:39.071000,"(26955, 26952, 26959, 26954)","(3316.7499158709434, 1083.7525711565474, 5927.405008113388, 5008.612969922846)","[genpy.Time[219070000000], genpy.Time[219070000000], genpy.Time[219070000000]]"
1970/01/01/02:03:39.271000,"(26955, 26952, 26959, 26954)","(3325.0627479327823, 1046.325521783632, 5923.154127991599, 4991.133482549815)","[genpy.Time[219270000000], genpy.Time[219270000000], genpy.Time[219270000000]]"
1970/01/01/02:03:39.470000,"(26955, 26952, 26959, 26954)","(3315.182541452329, 1028.2190313343133, 5898.047649538978, 4915.936854953824)","[genpy.Time[219470000000], genpy.Time[219470000000], genpy.Time[219470000000]]"
1970/01/01/02:03:39.671000,"(26955, 26952, 26959, 26954)","(3262.105800434668, 983.8407494880723, 5719.346137490834, 4958.973494818721)","[genpy.Time[219671000000], genpy.Time[219671000000], genpy.Time[219671000000]]"
1970/01/01/02:03:39.872000,"(26955, 26952, 26959, 26954)","(3292.3132186953303, 937.8722141783163, 5880.523515490628, 4892.535622440923)","[genpy.Time[219872000000], genpy.Time[219872000000], genpy.Time[219872000000]]"
