time,.destination_id,.distance,.stamp
1970/01/01/02:01:14.762000,"(26955, 26952, 26959, 26954)","(848.4058997039273, 1980.8024693255966, 3930.927435519068, 4342.409781645942)","[genpy.Time[74761000000], genpy.Time[74761000000], genpy.Time[74761000000]]"
1970/01/01/02:01:14.963000,"(26955, 26952, 26959, 26954)","(852.907088708072, 1966.2325813538325, 3929.9735850449774, 4340.813041302076)","[genpy.Time[74962000000], genpy.Time[74962000000], genpy.Time[74962000000]]"
1970/01/01/02:01:15.163000,"(26955, 26952, 26959, 26954)","(870.3524128968583, 1973.785734792754, 3847.9308996512877, 4242.694913040455)","[genpy.Time[75163000000], genpy.Time[75163000000], genpy.Time[75163000000]]"
1970/01/01/02:01:15.364000,"(26955, 26952, 26959, 26954)","(884.4942751135288, 1981.7213573672204, 3832.8615685063614, 4173.2324902923165)","[genpy.Time[75363000000], genpy.Time[75363000000], genpy.Time[75363000000]]"
1970/01/01/02:01:15.564000,"(26955, 26952, 26959, 26954)","(905.381405586962, 2010.9908587194982, 3770.655754648472, 4109.631030846888)","[genpy.Time[75563000000], genpy.Time[75563000000], genpy.Time[75563000000]]"
1970/01/01/02:01:15.765000,"(26955, 26952, 26959, 26954)","(923.8304628538987, 1992.637283916007, 3747.368971755281, 4083.1606955743155)","[genpy.Time[75764000000], genpy.Time[75764000000], genpy.Time[75764000000]]"
1970/01/01/02:01:15.966000,"(26955, 26952, 26959, 26954)","(949.1624957491688, 2003.106139898265, 3666.8538421658177, 4119.413000740963)","[genpy.Time[75965000000], genpy.Time[75965000000], genpy.Time[75965000000]]"
1970/01/01/02:01:16.165000,"(26955, 26952, 26959, 26954)","(978.709327242574, 2017.4913203805602, 3583.0939795880095, 4010.593905429071)","[genpy.Time[76165000000], genpy.Time[76165000000], genpy.Time[76165000000]]"
1970/01/01/02:01:16.368000,"(26955, 26952, 26959, 26954)","(1000.7643399369699, 2037.5746346313836, 3558.401086744966, 4010.275192938849)","[genpy.Time[76366000000], genpy.Time[76366000000], genpy.Time[76366000000]]"
1970/01/01/02:01:16.569000,"(26955, 26952, 26959, 26954)","(1040.3950659972804, 2024.6247047802813, 3543.3055253060256, 3917.9080397211546)","[genpy.Time[76568000000], genpy.Time[76568000000], genpy.Time[76568000000]]"
1970/01/01/02:01:16.775000,"(26955, 26952, 26959, 26954)","(1055.6948965176414, 2076.7278664109353, 3428.101896712339, 3838.114249572916)","[genpy.Time[76773000000], genpy.Time[76773000000], genpy.Time[76773000000]]"
1970/01/01/02:01:16.975000,"(26955, 26952, 26959, 26954)","(1098.515519998937, 2076.2454266477694, 3391.1973733711957, 3808.2003781048024)","[genpy.Time[76974000000], genpy.Time[76974000000], genpy.Time[76974000000]]"
1970/01/01/02:01:17.176000,"(26955, 26952, 26959, 26954)","(1127.0519401366512, 2111.2368697994043, 3336.3072741253995, 3777.937340738386)","[genpy.Time[77174000000], genpy.Time[77174000000], genpy.Time[77174000000]]"
1970/01/01/02:01:17.377000,"(26955, 26952, 26959, 26954)","(1168.347394102584, 2114.490541932665, 3328.234247175754, 3673.3175151408996)","[genpy.Time[77377000000], genpy.Time[77377000000], genpy.Time[77377000000]]"
1970/01/01/02:01:17.578000,"(26955, 26952, 26959, 26954)","(1195.4036387278525, 2137.3245519988523, 3249.192499568371, 3693.0744989271784)","[genpy.Time[77577000000], genpy.Time[77577000000], genpy.Time[77577000000]]"
1970/01/01/02:01:17.778000,"(26955, 26952, 26959, 26954)","(1245.085310926437, 2169.457647014818, 3202.6645016452244, 3633.669931601623)","[genpy.Time[77777000000], genpy.Time[77777000000], genpy.Time[77777000000]]"
1970/01/01/02:01:17.978000,"(26955, 26952, 26959, 26954)","(1266.3305350358216, 2194.2531751043534, 3139.8061215448224, 3650.627261118922)","[genpy.Time[77977000000], genpy.Time[77977000000], genpy.Time[77977000000]]"
1970/01/01/02:01:18.180000,"(26955, 26952, 26959, 26954)","(1326.442307060279, 2181.610841030358, 3076.508674050819, 3560.265935953724)","[genpy.Time[78179000000], genpy.Time[78179000000], genpy.Time[78179000000]]"
1970/01/01/02:01:18.381000,"(26955, 26952, 26959, 26954)","(1375.3472544995645, 2227.5244765152993, 3010.0501723359725, 3491.202923921629)","[genpy.Time[78380000000], genpy.Time[78380000000], genpy.Time[78380000000]]"
1970/01/01/02:01:18.583000,"(26955, 26952, 26959, 26954)","(1426.460830319299, 2270.217666243908, 3005.8500524649307, 3512.532318403161)","[genpy.Time[78581000000], genpy.Time[78581000000], genpy.Time[78581000000]]"
1970/01/01/02:01:18.785000,"(26955, 26952, 26959, 26954)","(1451.8317961559392, 2290.8794156048493, 3001.7548507905635, 3460.290865789413)","[genpy.Time[78784000000], genpy.Time[78784000000], genpy.Time[78784000000]]"
1970/01/01/02:01:18.987000,"(26955, 26952, 26959, 26954)","(1498.450544589305, 2309.0677761479014, 2927.47852274133, 3384.04936618897)","[genpy.Time[78985000000], genpy.Time[78985000000], genpy.Time[78985000000]]"
1970/01/01/02:01:19.188000,"(26955, 26952, 26959, 26954)","(1529.9047513507255, 2310.0670664004006, 2853.258186122705, 3366.7123642842985)","[genpy.Time[79187000000], genpy.Time[79187000000], genpy.Time[79187000000]]"
1970/01/01/02:01:19.388000,"(26955, 26952, 26959, 26954)","(1570.3452505879336, 2353.1642566569117, 2799.923526121253, 3338.6103310945946)","[genpy.Time[79387000000], genpy.Time[79387000000], genpy.Time[79387000000]]"
1970/01/01/02:01:19.589000,"(26955, 26952, 26959, 26954)","(1639.8289273416078, 2377.6677061870396, 2724.1117368280807, 3246.170348983095)","[genpy.Time[79588000000], genpy.Time[79588000000], genpy.Time[79588000000]]"
1970/01/01/02:01:19.790000,"(26955, 26952, 26959, 26954)","(1662.0839063631006, 2438.275238145676, 2695.8530468083504, 3180.9080241316738)","[genpy.Time[79789000000], genpy.Time[79789000000], genpy.Time[79789000000]]"
1970/01/01/02:01:19.990000,"(26955, 26952, 26959, 26954)","(1725.7477679036642, 2389.6952823986217, 2665.612709492646, 3221.872542691466)","[genpy.Time[79990000000], genpy.Time[79990000000], genpy.Time[79990000000]]"
1970/01/01/02:01:20.191000,"(26955, 26952, 26959, 26954)","(1775.5652092100513, 2444.0473919317055, 2602.1753493169003, 3118.2535643619885)","[genpy.Time[80190000000], genpy.Time[80190000000], genpy.Time[80190000000]]"
1970/01/01/02:01:20.393000,"(26955, 26952, 26959, 26954)","(1798.4743077739872, 2493.060492891645, 2531.735725658318, 3044.5226523168385)","[genpy.Time[80391000000], genpy.Time[80391000000], genpy.Time[80391000000]]"
1970/01/01/02:01:20.593000,"(26955, 26952, 26959, 26954)","(1851.8222634876624, 2521.3423871992086, 2522.4342673788924, 3026.1828513508713)","[genpy.Time[80592000000], genpy.Time[80592000000], genpy.Time[80592000000]]"
